Cintas Corp, , CTAS, Business Services
Cadence Design Systems Inc, , CDNS, Technical & System Software
Callidus Software Inc, , CALD, Technical & System Software
Capricorn Systems Global, , 512169, Technical & System Software
Cast, , CAST, Technical & System Software
Cencotech Inc, , CTZ, Technical & System Software
CG-Vak Software & Exports Ltd, , 531489, Technical & System Software
China Bio Cassava Holding, , 8129, Technical & System Software
China Digital TV Holding, , STV, Technical & System Software
China E-Learning Group Ltd., , 8055, Technical & System Software
China Leason CBM & Shale, , 8387, Technical & System Software
China Vanguard Group Ltd, , 8156, Technical & System Software
China Vanguard Group Ltd., , 8156, Technical & System Software
Chinasing Investment, , O2R, Technical & System Software
Cimatron Ltd., , CIMT, Technical & System Software
Clemex Technologies Inc, , CXG.A, Technical & System Software
ClickSoftware Technologies Ltd, , CKSW, Technical & System Software
Coheris, , COH, Technical & System Software
CommVault Systems Inc, , CVLT, Technical & System Software
Compuware Corp, , CPWR, Technical & System Software
Concur Technologies Inc, , CNQR, Technical & System Software
Concur Technologies, , CNQR, Technical & System Software
Constellation Software Inc, , CSU, Technical & System Software
COR&FJA AG, , COR, Technical & System Software
CoroWare, , COWI, Technical & System Software
CTIL Ltd, , 532363, Technical & System Software
Cybermate Infotek Ltd, , 532271, Technical & System Software
Cyberscape Multimedia Ltd, , 532364, Technical & System Software
CYBRA Corporation, , BSX, Technical & System Software
Damaris SA, , MLDAM, Technical & System Software
Decimal Software Ltd, , DSX, Technical & System Software
Destiny Media Technologies Inc, , DSNY, Technical & System Software
Digital River Inc, , DRIV, Technical & System Software
EasyVista SA, , ALEZV, Technical & System Software
Ebix Inc, , EBIX, Technical & System Software
EFuture Information, , EFUT, Technical & System Software
Electronic Data Processing PLC, , EDP, Technical & System Software
Empower Technologies Corp, , DHR, Technical & System Software
Emulex Corporation, , ELX, Technical & System Software
Encore Software Ltd, , 531750, Technical & System Software
Enghouse Systems Ltd, , ESL, Technical & System Software
Entellect Solutions Ltd, , MHFI, Technical & System Software
Eplus Inc, , PLUS, Technical & System Software
eRoomSystem Technologies Inc., , ERMS, Technical & System Software
Espial Group Inc, , ESP, Technical & System Software
Etherstack PLC, , ESK, Technical & System Software
Evolving Systems Inc., , GE, Technical & System Software
Excel Tech. Int'l, , XTI, Technical & System Software
FalconStor Software Inc, , FALC, Technical & System Software
FiNZsoft Solutions Ltd, , FIN, Technical & System Software
Forbidden Technologies PLC, , FBT, Technical & System Software
Fortinet Inc, , FTNT, Technical & System Software
GeoOP Ltd, , GEO, Technical & System Software
Global Digital Creations, , 8271, Technical & System Software
Global Graphics SE, , GLOG, Technical & System Software
Global Interface SA, , MLGLO, Technical & System Software
Gresham Computing PLC, , GHT, Technical & System Software
Hansen Technologies Ltd, , ROP, Technical & System Software
Hi Sun Technology (China) Ltd., , 0818, Technical & System Software
Hit Kit Global Solutions Ltd, , 532359, Technical & System Software
HopTo Inc., , HPTO, Technical & System Software
I Power Solutions India Ltd, , 512405, Technical & System Software
iCAD, , ICAD, Technical & System Software
IkeGPS Group Ltd, , IKE, Technical & System Software
iLOOKABOUT Corp, , ILA, Technical & System Software
Immersion Corp, , IMMR, Technical & System Software
Indo-Pacific Software, , 531565, Technical & System Software
Integrated Hitech Ltd, , 532303, Technical & System Software
Integrated Research Ltd, , IRI, Technical & System Software
Intrasense, , ALINS, Technical & System Software
Intrinsyc Technologies Corp, , ITC, Technical & System Software
Intuit Inc, , INTU, Technical & System Software
IRESS Ltd, , IRE, Technical & System Software
iSentia Group Ltd, , ISD, Technical & System Software
Itesoft, , ITE, Technical & System Software
Ivrnet Inc, , IVI, Technical & System Software
JCurve Solutions Ltd, , JCS, Technical & System Software
Jiangsu Nandasoft Co., , 8045, Technical & System Software
Keyware Technologies, , KEYW, Technical & System Software
Kinaxis Inc, , KXS, Technical & System Software
Kingdee International, , 0268, Technical & System Software
Kingsoft Corp Ltd, , 3888, Technical & System Software
Kingsoft Corporation Limited, , 3888, Technical & System Software
Labrador Technologies Inc, , LTX, Technical & System Software
Lee & Nee Softwares (Expo, , LEE, Technical & System Software
Linx SA, , LINX3, Technical & System Software
LogMeIn Inc, , LOGM, Technical & System Software
Mangalya Soft Tech Ltd, , 530243, Technical & System Software
Manhattan Associates Inc, , MANH, Technical & System Software
Mantech International Corp, , MANT, Technical & System Software
Mentor Graphics Corp, , MENT, Technical & System Software
Mentor Graphics Corp., , MENT, Technical & System Software
Microgen PLC, , MCGN, Technical & System Software
Micros Systems Inc, , MCRS, Technical & System Software
MiX Telematics Limited, , MIXT, Technical & System Software
Montech Holdings Ltd, , MOQ, Technical & System Software
Mykris Ltd, , MYK, Technical & System Software
N2N Technologies Ltd, , 512279, Technical & System Software
National Instruments Corp, , NATI, Technical & System Software
National Instruments Corporati, , NATI, Technical & System Software
NCC Finance Ltd, , 531452, Technical & System Software
NCC Group PLC, , NCC, Technical & System Software
NetScout Systems Inc, , NTCT, Technical & System Software
Netsol Technologies Inc, , NTWK, Technical & System Software
NexJ Systems Inc, , NXJ, Technical & System Software
NIC Inc, , EGOV, Technical & System Software
NICE-Systems Ltd, , NICE, Technical & System Software
Novabase SGPS, , NBA, Technical & System Software
NSD CO., , 9759, Technical & System Software
Nuance Communications Inc, , NUAN, Technical & System Software
Objective Corp Ltd, , OCL, Technical & System Software
Odyssey Technologies Ltd, , 530175, Technical & System Software
OneSoft Solutions Inc, , OSS, Technical & System Software
OTRS AG, , TR9, Technical & System Software
P&I Personal & Informatik AG, , P, Technical & System Software
Pacte Novation SA, , MLPAC, Technical & System Software
Palsoft Infosystems Ltd, , 511597, Technical & System Software
Panorama Synergy Ltd, , PSY, Technical & System Software
PASSUR Aerospace, , PSSR, Technical & System Software
Pegasystems Inc, , PEGA, Technical & System Software
Perficient Inc, , PRFT, Technical & System Software
Perion Network Ltd, , PERI, Technical & System Software
PFL Infotech Ltd, , 531769, Technical & System Software
Pharmagest Interactive, , PHA, Technical & System Software
Primary Opinion Ltd, , POP, Technical & System Software
Prism Informatics Ltd, , 505530, Technical & System Software
Prologue, , PROL, Technical & System Software
PTC Inc, , PTC, Technical & System Software
PTC Inc., , PTC, Technical & System Software
Pushpay Holdings Ltd, , PAY, Technical & System Software
Qanda Technology Ltd, , QNA, Technical & System Software
Quotium Technologies, , QTE, Technical & System Software
R Systems International Ltd, , GE, Technical & System Software
Ram Informatics Limited, , 530951, Technical & System Software
Reckon Ltd, , RKN, Technical & System Software
Red Hat Inc, , RHT, Technical & System Software
Rhype Ltd, , RHP, Technical & System Software
RNB Industrial Ltd, , 531250, Technical & System Software
Rosetta Stone Inc, , RST, Technical & System Software
Rovi Corp, , ROVI, Technical & System Software
Rubik Financial Ltd, , RFL, Technical & System Software
Saba Software Inc, , SABA, Technical & System Software
Sage Group (The) PLC, , SGGEF, Technical & System Software
Salesforce.com Inc, , CRM, Technical & System Software
Sankhya Infotech Ltd, , 532972, Technical & System Software
Sapan Chemicals Ltd, , 531781, Technical & System Software
Scanpoint Geomatics Ltd, , 526544, Technical & System Software
ScanSource, , SCSC, Technical & System Software
Senetas Corp Ltd, , SEN, Technical & System Software
Senior Solution SA, , SNSL3, Technical & System Software
Sequel e-Routers Ltd, , 521238, Technical & System Software
Serenic Corp, , OSS, Technical & System Software
Servelec Group PLC, , SERV, Technical & System Software
Sesa SPA, , SES, Technical & System Software
Seshachal Technologies Ltd, , 531794, Technical & System Software
Sidetrade SA, , ALBFR, Technical & System Software
Simulations Plus Inc, , SLP, Technical & System Software
Sing Lee Software Group, , 8076, Technical & System Software
Skkynet Cloud Systems, , SKKY, Technical & System Software
Smith Micro Software Inc, , SMSI, Technical & System Software
SMS Techsoft (India) Ltd, , 531838, Technical & System Software
Softech Infinium Solutions Ltd, , 530651, Technical & System Software
Softimat, , SOFT, Technical & System Software
Softsol India Ltd, , 532344, Technical & System Software
Solera Holdings Inc, , SLH, Technical & System Software
Sonic Foundry Inc, , SOFO, Technical & System Software
Stamps.com Inc, , STMP, Technical & System Software
Stream Group Ltd, , SGO, Technical & System Software
Svam Software Ltd, , 523722, Technical & System Software
Sword Group, , SWP, Technical & System Software
Sylph Technologies Ltd, , 511447, Technical & System Software
Symantec Corp, , SYMC, Technical & System Software
Synaptics Inc, , SYNA, Technical & System Software
Systemax Inc., , SYX, Technical & System Software
Tas, , TAS, Technical & System Software
TechNVision Ventures Ltd, , 501421, Technical & System Software
Tecsys Inc, , TCS, Technical & System Software
Tera Software Ltd, , 533982, Technical & System Software
Travel Technology Interac, , ALTTI, Technical & System Software
Trek 2000 International Ltd, , 5AB, Technical & System Software
Txt E-Solutions, , TXT, Technical & System Software
Tyler Technologies, , TYL, Technical & System Software
Unisys Softwares & Holdin, , UIS, Technical & System Software
Urbanimmersive, , UI, Technical & System Software
Vama Industries Ltd, , 512175, Technical & System Software
Varonis Systems, , VRNS, Technical & System Software
Vasco Data Security, , VDSI, Technical & System Software
Verint Systems Inc, , VRNT, Technical & System Software
Visiativ SA, , ALVIV, Technical & System Software
Vjil Consulting Ltd, , 517429, Technical & System Software
VMware, , VMW, Technical & System Software
Vocus Inc, , VOCS, Technical & System Software
Wynyard Group Ltd, , WYN, Technical & System Software
Zheda Lande Scitech Ltd., , 8106, Technical & System Software
Zix Corp, , ZIXI, Technical & System Software
8Common Ltd, , 8CO, Technical & System Software
8K Miles Software Services Ltd, , 512161, Technical & System Software
99 Wuxian Ltd, , NNW, Technical & System Software
Informatica Corp, , INFA, Technical & System Software
AsiaInfo-Linkage, , ASIA, Security Software & Services
Brekford Corp., , BFDI, Security Software & Services
Ceelox, , CELO, Security Software & Services
Check Point Software Technolog, , CHKP, Security Software & Services
CYREN Ltd., , CYRN, Security Software & Services
Exobox Technologies Corp., , EXBX, Security Software & Services
IntraLinks Holdings, , IL, Security Software & Services
Intrusion Inc., , CSCO, Security Software & Services
ISC8 Inc., , ISCIQ, Security Software & Services
Iveda Solutions, , IVDA, Security Software & Services
ManTech International Corporat, , MANT, Security Software & Services
Network-1 Technologies, , NTIP, Security Software & Services
Polar Wireless Corp., , BCDI, Security Software & Services
SuperCom Ltd., , SPCB, Security Software & Services
Symantec Corporation, , SYMC, Security Software & Services
Validian Corporation, , VLDI, Security Software & Services
VASCO Data Security Internatio, , VDSI, Security Software & Services
Vicon Industries Inc., , VII, Security Software & Services
Accel Transmatic Ltd, , 517494, Information Technology Services
Accenture plc, , ACN, Information Technology Services
Accenture PLC, , ACN, Information Technology Services
ACI Infocom Ltd., , 517356, Information Technology Services
Acxiom Corp, , ACXM, Information Technology Services
Acxiom Corporation, , ACXM, Information Technology Services
Advent Computer Services Ltd, , 531429, Information Technology Services
Ajel Ltd, , 530713, Information Technology Services
Allied Minds PLC, , ALM, Information Technology Services
Amadeus IT Holding SA, , AMS, Information Technology Services
AnythingIT, , ANYI, Information Technology Services
Artsnet, , MLART, Information Technology Services
ASG Group Ltd, , ASZ, Information Technology Services
ASM Technologies Ltd, , 0522, Information Technology Services
ASYA Infosoft Ltd, , 511144, Information Technology Services
Atos, , ATOS, Information Technology Services
Aubay, , AUB, Information Technology Services
Aurum Soft Systems Ltd, , 530885, Information Technology Services
Ausy, , OSI, Information Technology Services
Automated Systems Holding, , GE, Information Technology Services
Automated Systems Holdings Ltd, , GE, Information Technology Services
AVEVA Group PLC, , AVV, Information Technology Services
Azeus Systems Holdings Ltd, , A69, Information Technology Services
Bodhtree Consulting Ltd, , BODHTREE, Information Technology Services
Boldt SA, , BOLT, Information Technology Services
Byte Power Group Ltd, , BPG, Information Technology Services
CACI International Inc, , CACI, Information Technology Services
CACI International Inc., , CACI, Information Technology Services
Cameleon Software, , CAM, Information Technology Services
Capinfo Co., , 1075, Information Technology Services
CDW Corporation, , CDW, Information Technology Services
Cheops Technology France SA, , MLCHE, Information Technology Services
China Eco-Farming Ltd., , 8166, Information Technology Services
China Public Procurement Ltd., , 1094, Information Technology Services
Ciber, , CBR, Information Technology Services
Cigniti Technologies Ltd, , 534758, Information Technology Services
Cognizant Technology Solu, , CTSH, Information Technology Services
Computacenter PLC, , CCC, Information Technology Services
Computer Sciences Corp, , CSC, Information Technology Services
Computer Sciences Corporation, , CSC, Information Technology Services
Computer Task Group Inc., , CTG, Information Technology Services
CONET Technologie AG, , ALR, Information Technology Services
Consort NT, , MLCNT, Information Technology Services
CPT Global Ltd, , CGO, Information Technology Services
Crazy Infotech Ltd, , 524388, Information Technology Services
Cressanda Solutions Ltd., , 512379, Information Technology Services
Crexendo, , EXE, Information Technology Services
CSS Technergy Ltd, , 590050, Information Technology Services
Danlaw Technologies India Ltd, , 532329, Information Technology Services
Devoteam SA, , DVT, Information Technology Services
Digimarc Corporation, , DMRC, Information Technology Services
Digitalhongkong.com, , 8007, Information Technology Services
DTS Corporation, , AIT, Information Technology Services
DWS Ltd, , DWS, Information Technology Services
e.Com Infotech Ltd, , 531533, Information Technology Services
Econocom Group, , ECONB, Information Technology Services
Edgewater Technology Inc, , EDGW, Information Technology Services
Edgewater Technology Inc., , EDGW, Information Technology Services
Emtec, , ETEC, Information Technology Services
enherent Corp., , ENHT, Information Technology Services
EPAM Systems, , EPAM, Information Technology Services
Epiq Systems Inc, , EPIQ, Information Technology Services
Epiq Systems, , EPIQ, Information Technology Services
EVRY ASA, , EDZ, Information Technology Services
Expert System S.p.A., , EXSY, Information Technology Services
Exprivia, , XPR, Information Technology Services
Futong Technology, , 0465, Information Technology Services
G-Tech Info-Training Ltd, , 532139, Information Technology Services
Gartner Inc, , IT, Information Technology Services
Gartner Inc., , IT, Information Technology Services
GFI Informatique, , GFI, Information Technology Services
Globant S.A., , GLOB, Information Technology Services
Goplee Infotech Ltd, , 531419, Information Technology Services
Groupe Open, , OPN, Information Technology Services
GTL Ltd, , GTL, Information Technology Services
HCL Technologies Ltd, , HCLTECH, Information Technology Services
Helios and Matheson Analytics, , HMNY, Information Technology Services
IBM, , IBM, Information Technology Services
Igate Corp, , IGTE, Information Technology Services
iGATE Corporation, , IGTE, Information Technology Services
IKF Technologies Ltd, , 532414, Information Technology Services
IMS Health Holdings, , IMS, Information Technology Services
Inno-Tech Holdings Ltd., , 8202, Information Technology Services
Innodata Inc, , INOD, Information Technology Services
Inspur International Ltd., , 0596, Information Technology Services
Intense Technologies Ltd., , 532326, Information Technology Services
InterCloud Systems, , ICLD, Information Technology Services
International Business Machine, , IBM, Information Technology Services
Ipernica Limited, , IPRNY, Information Technology Services
Karin Technology Holdings Ltd, , K29, Information Technology Services
Kellton Tech Solutions Ltd, , 519602, Information Technology Services
Keyrus, , KEY, Information Technology Services
Locasystem international SA, , MLLOI, Information Technology Services
Luminaire Technologies Ltd, , 526045, Information Technology Services
MacDonald Dettwiler and A, , MDA, Information Technology Services
Maximaa Systems Ltd., , 526538, Information Technology Services
Mind C T I Ltd, , MNDO, Information Technology Services
MIND C.T.I., , MNDO, Information Technology Services
NCR Corp, , NCR, Information Technology Services
NCR Corp., , NCR, Information Technology Services
Netlink Solutions (India) Ltd, , 509040, Information Technology Services
Neurones, , NRO, Information Technology Services
Nihar Info Global Ltd, , 531083, Information Technology Services
North Asia Resources, , 0061, Information Technology Services
Odesia Group Inc, , ODS, Information Technology Services
Peak Positioning Tech, , PHG, Information Technology Services
Pivot Technology Solutions Inc, , SYK, Information Technology Services
Praemium Ltd, , PPS, Information Technology Services
Promethean World PLC, , PRW, Information Technology Services
ProText Mobility, , TXTM, Information Technology Services
Qihoo 360 Technology Co Ltd, , QIHU, Information Technology Services
Qihoo 360 Technology Co. Ltd., , QIHU, Information Technology Services
Rackspace Hosting Inc, , RAX, Information Technology Services
Rackspace Hosting, , RAX, Information Technology Services
Radware Ltd, , RDWR, Information Technology Services
Radware Ltd., , RDWR, Information Technology Services
RDM Corp, , RC, Information Technology Services
Reply SPA, , REY, Information Technology Services
Riverbed Technology Inc, , RVBD, Information Technology Services
Riverbed Technology, , RVBD, Information Technology Services
Sapient Corp, , SAPE, Information Technology Services
Savant Infocomm Ltd, , 517320, Information Technology Services
SCSK Corporation, , 9719, Information Technology Services
Secure Earth Technologies Ltd, , 511503, Information Technology Services
Securinfor, , MLSEC, Information Technology Services
Senthil Infotek Ltd, , 524388, Information Technology Services
ServiceNow, , NOW, Information Technology Services
Sino-i Technology Ltd, , 0250, Information Technology Services
Sino-i Technology Ltd., , 0250, Information Technology Services
SinoCom Software Group Ltd., , 0299, Information Technology Services
SoftBank Technology Corp., , 4726, Information Technology Services
Softchoice Corp, , SO, Information Technology Services
SoluCom, , LCO, Information Technology Services
Sopra Group, , SOP, Information Technology Services
Spare Backup, , SPBU, Information Technology Services
Stratech Systems Ltd, , S73, Information Technology Services
Sykes Enterprises Inc, , SYKE, Information Technology Services
Sykes Enterprises, , SYKE, Information Technology Services
Syntel Inc, , SYNT, Information Technology Services
Syntel, , SYNT, Information Technology Services
Techniche Ltd, , TCN, Information Technology Services
Tecnocom, , TEC, Information Technology Services
TravelSky Technology Ltd, , 0696, Information Technology Services
Triad Group PLC, , TRD, Information Technology Services
Twinstar Industries Ltd, , 531917, Information Technology Services
UBIC, , UBIC, Information Technology Services
Unisys Corp, , UIS, Information Technology Services
Unisys Corporation, , UIS, Information Technology Services
Valuemart Info Technologi, , 532338, Information Technology Services
Virinchi Technologies Ltd, , 532372, Information Technology Services
Virtualsoft Systems Ltd, , 531126, Information Technology Services
Virtusa  Corp., , VRTU, Information Technology Services
WidePoint Corp., , WYY, Information Technology Services
Wipro Ltd, , WIOA, Information Technology Services
Wipro Ltd., , WIOA, Information Technology Services
Wisec Global Ltd, , 511642, Information Technology Services
Xerox Corporation, , UFS, Information Technology Services
21Vianet Group, , VNET, Information Technology Services
Accretive Health Inc, , ACHI, Healthcare Information Services
athenahealth, , ATHN, Healthcare Information Services
Authentidate Holding, , ADAT, Healthcare Information Services
Authentidate Holding Corp., , ADAT, Healthcare Information Services
Cerner Corp, , CERN, Healthcare Information Services
Cerner Corporation, , CERN, Healthcare Information Services
Cogstate Ltd, , COGZF, Healthcare Information Services
CollabRx, , CLRX, Healthcare Information Services
Computer Programs, , CPSI, Healthcare Information Services
Computer Programs & Systems In, , CPSI, Healthcare Information Services
DigiPath Corp, , DIGP, Healthcare Information Services
EM Systems Co. Ltd., , 4820, Healthcare Information Services
Extenway Solutions Inc, , EY, Healthcare Information Services
HealthEquity, , HQY, Healthcare Information Services
HealthStream Inc, , HSTM, Healthcare Information Services
Healthstream Inc., , HSTM, Healthcare Information Services
Hyperera Inc., , HYRR, Healthcare Information Services
ICSGlobal Ltd, , ICS, Healthcare Information Services
Imprivata, , IMPR, Healthcare Information Services
MedAssets Inc, , MDAS, Healthcare Information Services
MedAssets, , MDAS, Healthcare Information Services
Medasys, , MED, Healthcare Information Services
Medefile International, , MDFI, Healthcare Information Services
Medidata Solutions Inc, , MDSO, Healthcare Information Services
Medidata Solutions, , MDSO, Healthcare Information Services
Medtech Global Ltd, , MDG, Healthcare Information Services
Medworxx Solutions Inc, , MWX, Healthcare Information Services
Merge Healthcare Inc, , MRGE, Healthcare Information Services
Omnicell Inc, , OMCL, Healthcare Information Services
Omnicell, , OMCL, Healthcare Information Services
Preventia, , PVTA, Healthcare Information Services
Quality Systems Inc, , GE, Healthcare Information Services
Quality Systems Inc., , GE, Healthcare Information Services
Scientific Brain Training, , MLSBT, Healthcare Information Services
Streamline Health Solutions, , STRM, Healthcare Information Services
Town Health International, , 3886, Healthcare Information Services
TransCoastal Corporation, , TCEC, Healthcare Information Services
Veeva Systems Inc., , VEEV, Healthcare Information Services
VHGI Holdings, , VHGI, Healthcare Information Services
WebMD Health Corp, , WBMD, Healthcare Information Services
WebMD Health Corp., , WBMD, Healthcare Information Services
WebSafety, , WBSI, Healthcare Information Services
abc Multiactive Ltd., , 8131, Business Software & Services
Acteos, , EOS, Business Software & Services
Amdocs Limited, , DOX, Business Software & Services
Amdocs Ltd, , DOX, Business Software & Services
Anar Industries Ltd, , 531127, Business Software & Services
Artificial Life, , ALIF, Business Software & Services
Asure Software, , ASUR, Business Software & Services
Automatic Data Processing, , ADP, Business Software & Services
Blackbaud Inc., , BLKB, Business Software & Services
Bottomline Technologies (de), , EPAY, Business Software & Services
BPS Technology Ltd, , BPS, Business Software & Services
CA Technologies, , CA, Business Software & Services
Cachet Financial Solutions, , CAFN, Business Software & Services
Callidus Software Inc., , CALD, Business Software & Services
Capital Growth Systems, , GE, Business Software & Services
Carbonite, , CARB, Business Software & Services
China Automation Group Ltd., , 0569, Business Software & Services
Cicero, , CICN, Business Software & Services
Citrix Systems Inc, , CTXS, Business Software & Services
Citrix Systems, , CTXS, Business Software & Services
Cognizant Technology Solutions, , CTSH, Business Software & Services
Commex Technology Ltd, , 532342, Business Software & Services
Cover-All Technologies Inc., , COVR, Business Software & Services
CSG Systems International Inc, , CSGS, Business Software & Services
CSG Systems International Inc., , CSGS, Business Software & Services
CTI Group Holdings Inc., , CTIG, Business Software & Services
Cyber-Ark Software Ltd., , CYBR, Business Software & Services
CYREN Ltd, , CYRN, Business Software & Services
Datawatch Corporation, , DWCH, Business Software & Services
Dion Global Solutions Ltd., , 526927, Business Software & Services
Direct Insite Corp., , DIRI, Business Software & Services
DST Systems Inc., , DST, Business Software & Services
Ebix Inc., , EBIX, Business Software & Services
EcoloCap Solutions Inc., , ECOS, Business Software & Services
eGain Corporation, , EGAN, Business Software & Services
Emulex Corp, , ELX, Business Software & Services
EROAD Ltd, , ERD, Business Software & Services
EVERTEC, , EVTC, Business Software & Services
F5 Networks Inc, , FFIV, Business Software & Services
F5 Networks, , FFIV, Business Software & Services
Fair Isaac Corporation, , FICO, Business Software & Services
Fidessa Group PLC, , FDSA, Business Software & Services
Formula Systems (1985) Ltd., , FORTY, Business Software & Services
Gamma Infoway Exalt Ltd, , 517391, Business Software & Services
Guidewire Software, , GWRE, Business Software & Services
Holosfind, , ALHOL, Business Software & Services
InsPro Technologies Corporatio, , ITCC, Business Software & Services
Intellvisions Software Ltd, , 531777, Business Software & Services
Interactive Intelligence Group, , ININ, Business Software & Services
International Card Establishme, , ICRD, Business Software & Services
Iron Mountain Inc., , IRM, Business Software & Services
Jack Henry & Associates Inc., , JKHY, Business Software & Services
Jagged Peak, , JGPK, Business Software & Services
Kimoce, , MLKIM, Business Software & Services
Kingtone Wirelessinfo Solution, , KONE, Business Software & Services
LivePerson Inc, , LPSN, Business Software & Services
LivePerson Inc., , LPSN, Business Software & Services
MAM Software Group, , MAMS, Business Software & Services
Mango Capital, , MCAP, Business Software & Services
Microsoft Corp, , MSFT, Business Software & Services
Microsoft Corporation, , MSFT, Business Software & Services
MobileSmith, , MOST, Business Software & Services
MoPowered Group PLC, , MPOW, Business Software & Services
My ATM Holdings Ltd, , MYA, Business Software & Services
NeoMedia Technologies Inc., , NEOM, Business Software & Services
NetScout Systems, , NTCT, Business Software & Services
NetSuite Inc., , N, Business Software & Services
Neurosoft SA, , NRST, Business Software & Services
Nexxoft Infotel Ltd, , 532045, Business Software & Services
Onstream Media Corp., , ONSM, Business Software & Services
Oracle Financial Services, , OFSS, Business Software & Services
Otsuka Corporation, , 4768, Business Software & Services
Pegasystems Inc., , PEGA, Business Software & Services
Perficient Inc., , PRFT, Business Software & Services
Perion Network Ltd., , PERI, Business Software & Services
Procera Networks, , PKT, Business Software & Services
Prodware SA, , ALPRO, Business Software & Services
Q2 Holdings, , QTWO, Business Software & Services
Qlik Technologies Inc, , QLIK, Business Software & Services
Qlik Technologies, , QLIK, Business Software & Services
Rand Worldwide, , RWWI, Business Software & Services
Realtime Technology AG, , TMO, Business Software & Services
Saba Software, , SABA, Business Software & Services
Sapiens International Corp, , SPNS, Business Software & Services
Sapiens International Corporat, , SPNS, Business Software & Services
Sapient Corp., , SAPE, Business Software & Services
Sawaca Business Machines Ltd, , 531893, Business Software & Services
Selectica Inc, , SLTC, Business Software & Services
ServiceSource International, , SREV, Business Software & Services
Simulations Plus, , SLP, Business Software & Services
SNP, , SNP, Business Software & Services
Sodifrance, , SOA, Business Software & Services
Sogeclair, , SOG, Business Software & Services
SolarWinds Inc, , SWI, Business Software & Services
Solutions 30 SA, , BAM-Z, Business Software & Services
Streamwide, , ALSTW, Business Software & Services
StrikeForce Technologies, , SFOR, Business Software & Services
support.com Inc, , SPRT, Business Software & Services
Symbility Solutions Inc, , SY, Business Software & Services
Tangoe, , TNGO, Business Software & Services
Telecity Group PLC, , TCY, Business Software & Services
TIBCO Software Inc, , TIBX, Business Software & Services
TIBCO Software Inc., , TIBX, Business Software & Services
Touchpoint Metrics, , TPOI, Business Software & Services
TSR Inc., , TSRI, Business Software & Services
TSR, , TSRI, Business Software & Services
TTG Fintech Ltd, , TUP, Business Software & Services
Ultimate Software Group Inc, , ULTI, Business Software & Services
US Dataworks Inc., , UDWK, Business Software & Services
USG Tech Solutions Ltd, , 532402, Business Software & Services
Valuemart Retail Solutions Ltd, , 511114, Business Software & Services
Velti Plc, , VELTF, Business Software & Services
Verint Systems Inc., , VRNT, Business Software & Services
VIASPACE Inc., , VSPC, Business Software & Services
VMWare Inc, , VMW, Business Software & Services
Wedia, , ALWED, Business Software & Services
Xero Ltd, , XROLF, Business Software & Services
Zetes Industries, , ZTS, Business Software & Services
Informatica Corporation, , INFA, Business Software & Services
Infrax Systems, , IFXY, Business Software & Services
Broadridge Financial Solutions, , BR, Information & Delivery Services
CrowdGather, , CRWG, Information & Delivery Services
Digagogo Ventures Corp., , DOGO, Information & Delivery Services
Dun & Bradstreet Corp., , DNB, Information & Delivery Services
FactSet Research Systems Inc., , FDS, Information & Delivery Services
IHS Inc., , IHS, Information & Delivery Services
INTREorg Systems Inc., , IORG, Information & Delivery Services
Leidos Holdings, , SAI, Information & Delivery Services
Morningstar Inc., , MORN, Information & Delivery Services
Next 1 Interactive Inc., , NXOI, Information & Delivery Services
Nielsen N.V., , NLSN, Information & Delivery Services
Actions Semiconductor Co Ltd, , ACTS, Semiconductor - Broad Line
Advanced Micro Devices Inc, , AMD, Semiconductor - Broad Line
Advanced Micro Devices, , AMD, Semiconductor - Broad Line
Altera Corp, , ALTR, Semiconductor - Broad Line
Amkor Technology Inc, , AMKR, Semiconductor - Broad Line
Anadigics Inc, , ANAD, Semiconductor - Broad Line
Applied Micro Circuits Corp, , AMCC, Semiconductor - Broad Line
Atmel Corp, , ATML, Semiconductor - Broad Line
Atmel Corporation, , ATML, Semiconductor - Broad Line
AU Optronics Corp., , AUO, Semiconductor - Broad Line
Avago Technologies Limited, , AVGO, Semiconductor - Broad Line
Avago Technologies Ltd, , AVGO, Semiconductor - Broad Line
Bluechiip Ltd, , BCT, Semiconductor - Broad Line
Broadcom Corp, , BRCM, Semiconductor - Broad Line
Cabot Microelectronics Corp, , CCMP, Semiconductor - Broad Line
Cavium, , CAVM, Semiconductor - Broad Line
CEVA Inc, , CEVA, Semiconductor - Broad Line
Cirrus Logic Inc, , CRUS, Semiconductor - Broad Line
Cree Inc, , CREE, Semiconductor - Broad Line
Cypress Semiconductor Corp, , CY, Semiconductor - Broad Line
Cypress Semiconductor Corporat, , CY, Semiconductor - Broad Line
Daisho Microline Holdings Ltd., , 0567, Semiconductor - Broad Line
Dolphin Integration SA, , ALDOL, Semiconductor - Broad Line
DSP Group, , DSPG, Semiconductor - Broad Line
Dynex Power Inc, , DNX, Semiconductor - Broad Line
Eems, , EEMS, Semiconductor - Broad Line
Electro Scientific Industries, , ESIO, Semiconductor - Broad Line
Entropic Communications Inc, , ENTR, Semiconductor - Broad Line
Entropic Communications, , ENTR, Semiconductor - Broad Line
Exar Corp, , EXAR, Semiconductor - Broad Line
Fairchild Semiconductor, , FCS, Semiconductor - Broad Line
FormFactor Inc, , FORM, Semiconductor - Broad Line
FormFactor Inc., , FORM, Semiconductor - Broad Line
Freescale Semiconductor, , FSL, Semiconductor - Broad Line
